locality,canton
Forst b. Längenbühl,Berne
Fraubrunnen,Berne
Frauenkappelen,Berne
Freimettigen,Berne
Frieswil,Berne
Frinvillier,Berne
Frutigen,Berne
Gadmen,Berne
Gals,Berne
Gammen,Berne
Gampelen,Berne
Gasel,Berne
Gelterfingen,Berne
Gerolfingen,Berne
Gerzensee,Berne
Gimmelwald,Berne
Gohl,Berne
Golaten,Berne
Goldiwil (Thun),Berne
Goldswil b. Interlaken,Berne
Gondiswil,Berne
Graben,Berne
Grafenried,Berne
Grandval,Berne
Grasswil,Berne
Grindelwald,Berne
Grossaffoltern,Berne
Grossdietwil,Berne
Grosshöchstetten,Berne
Grund b. Gstaad,Berne
Grünen,Berne
Grünenmatt,Berne
Gstaad,Berne
Gsteig b. Gstaad,Berne
Gsteigwiler,Berne
Guggisberg,Berne
Gunten,Berne
Gurbrü,Berne
Gurzelen,Berne
Gutenburg,Berne
Guttannen,Berne
Gwatt (Thun),Berne
Gysenstein,Berne
Gänsbrunnen,Berne
Gümligen,Berne
Gümmenen,Berne
Gündlischwand,Berne
Habkern,Berne
Hagneck,Berne
Hasle b. Burgdorf,Berne
Hasliberg Goldern,Berne
Hasliberg Hohfluh,Berne
Hasliberg Reuti,Berne
Hasliberg Wasserwendi,Berne
Heiligenschwendi,Berne
Heimberg,Berne
Heimenhausen,Berne
Heimenschwand,Berne
Heimisbach,Berne
Heimiswil,Berne
Helgisried-Rohrbach,Berne
Hellsau,Berne
Herbligen,Berne
Hermiswil,Berne
Hermrigen,Berne
Herrenschwanden,Berne
Herzogenbuchsee,Berne
Hettiswil b. Hindelbank,Berne
Hilterfingen,Berne
Hindelbank,Berne
Hinterfultigen,Berne
Hinterkappelen,Berne
Hofstetten b. Brienz,Berne
Homberg b. Thun,Berne
Hondrich,Berne
Horboden,Berne
Horrenbach,Berne
Huttwil,Berne
Häusernmoos im Emmental,Berne
Häutligen,Berne
Höchstetten,Berne
Höfen b. Thun,Berne
Hünibach,Berne
Iffwil,Berne
Inkwil,Berne
Innerberg,Berne
Innertkirchen,Berne
Ins,Berne
Interlaken,Berne
Ipsach,Berne
Iseltwald,Berne
Isenfluh,Berne
Ittigen,Berne
Jaberg,Berne
Jegenstorf,Berne
Jens,Berne
Jungfraujoch,Berne
Kallnach,Berne
Kaltacker,Berne
Kandergrund,Berne
Kandersteg,Berne
Kappelen,Berne
Kaufdorf,Berne
Kehrsatz,Berne
Kernenried,Berne
Kerzers,Berne
Kiental,Berne
Kiesen,Berne
Kirchberg BE,Berne
Kirchdorf BE,Berne
Kirchenthurnen,Berne
Kirchlindach,Berne
Kleindietwil,Berne
Kleine Scheidegg,Berne
Konolfingen,Berne
Koppigen,Berne
Krattigen,Berne
Krauchthal,Berne
Kriechenwil,Berne
Kräiligen,Berne
Köniz,Berne
La Cibourg,Berne
La Ferrière,Berne
La Heutte,Berne
La Neuveville,Berne
La Tanne,Berne
Lamboing,Berne
Landiswil,Berne
Langenthal,Berne
Langnau im Emmental,Berne
Lanzenhäusern,Berne
Latterbach,Berne
Lauenen b. Gstaad,Berne
Laupen BE,Berne
Lauperswil,Berne
Lauterbrunnen,Berne
Le Cerneux-Veusil,Berne
Le Fuet,Berne
Le Landeron,Berne
Leimiswil,Berne
Leissigen,Berne
Lengnau BE,Berne
Lenk im Simmental,Berne
Les Breuleux,Berne
Les Ecorcheresses,Berne
Les Pontins,Berne
Les Prés-d'Orvin,Berne
Les Reussilles,Berne
Leuzigen,Berne
Liebefeld,Berne
Ligerz,Berne
Lignières,Berne
Limpach,Berne
Linden,Berne
Lobsigen,Berne
Lohn-Ammannsegg,Berne
Lohnstorf,Berne
Lotzwil,Berne
Loveresse,Berne
Lyss,Berne
Lyssach,Berne
Längenbühl,Berne
Lätti,Berne
Lüscherz,Berne
Lütschental,Berne
Lützelflüh-Goldbach,Berne
Madiswil,Berne
Magglingen/Macolin,Berne
Malleray,Berne
Mamishaus,Berne
Matten (St. Stephan),Berne
Matten b. Interlaken,Berne
Mattstetten,Berne
Meienried,Berne
Meikirch,Berne
Meinisberg,Berne
Meiringen,Berne
Melchnau,Berne
Merligen,Berne
Merzligen,Berne
Messen,Berne
Milken,Berne
Mirchel,Berne
Mittelhäusern,Berne
Monible,Berne
Mont-Crosin,Berne
Mont-Soleil,Berne
Mont-Tramelan,Berne
Montagne-de-Courtelary,Berne
